"id","loan_amount","annual_income","issue_date","dti","int_rate","grade","sub_grade","term_months","total_payment","profit","loan_status"
1077430,"2500","30000","2021-02-11","1.00","15.27","C","C4",60,"1009","-1491","Charged Off"
1072053,"3000","48000","2021-01-01","5.35","18.64","E","E1",36,"3939","939","Fully Paid"
1069243,"12000","50000","2021-01-05","20.88","15.96","C","C5",36,"3522","-8478","Charged Off"
1041756,"4500","42000","2021-02-25","5.40","10.65","B","B2",60,"4911","411","Fully Paid"
1068350,"3500","83000","2021-01-01","2.31","6.03","A","A1",36,"3835","335","Fully Paid"
1062608,"8000","28000","2021-07-17","12.60","14.65","C","C3",36,"8637","637","Fully Paid"
1067441,"6000","94800","2021-11-19","24.53","14.27","C","C2",36,"7218","1218","Fully Paid"
1066424,"5500","59000","2021-06-11","6.65","7.90","A","A4",36,"6172","672","Fully Paid"
1065254,"24000","116400","2021-09-02","3.94","8.90","A","A5",36,"8650","-15350","Charged Off"
1064589,"4125","36000","2021-02-09","17.73","12.69","B","B5",60,"5551","1426","Fully Paid"
1057766,"5400","75000","2021-07-22","8.80","12.69","B","B5",36,"6277","877","Fully Paid"
1062734,"11200","75000","2021-09-11","22.88","12.42","B","B4",36,"4225","-6975","Charged Off"
1062654,"5000","35000","2021-08-11","4.01","11.71","B","B3",36,"5728","728","Fully Paid"
1020855,"8000","48000","2021-12-11","15.33","12.69","B","B5",36,"9661","1661","Fully Paid"
1060945,"6000","92000","2021-10-11","10.60","12.42","B","B4",36,"7218","1218","Fully Paid"
1060995,"12000","60000","2021-12-11","6.30","12.42","B","B4",36,"9547","-2453","Charged Off"
1046507,"3050","16800","2021-12-02","3.50","9.91","B","B1",36,"3538","488","Fully Paid"
1059936,"10000","40000","2021-10-09","18.69","14.27","C","C2",36,"11156","1156","Fully Paid"
1059497,"5000","35000","2021-12-12","13.92","10.65","B","B2",36,"5863","863","Fully Paid"
1058060,"5000","40000","2021-02-02","9.57","16.29","D","D1",36,"6361","1361","Fully Paid"
112245,"5000","40000","2021-07-07","2.55","7.43","A","A2",36,"5594","594","Fully Paid"
207910,"2225","120000","2021-01-08","7.67","7.43","A","A2",36,"2508","283","Charged Off"
65426,"4000","60000","2021-08-09","11.08","11.14","B","B1",36,"2755","-1245","Charged Off"
211723,"8000","72000","2021-01-08","5.12","11.09","C","C2",36,"2135","-5865","Charged Off"
662350,"2500","70800","2021-01-11","7.95","7.66","A","A5",36,"1479","-1021","Charged Off"
1006769,"4000","80000","2021-11-11","6.48","7.51","A","A3",36,"2479","-1521","Charged Off"
405898,"12000","36000","2021-06-09","15.00","9.63","A","A5",36,"2306","-9694","Charged Off"
445846,"7000","45000","2021-10-09","15.20","8.94","A","A5",36,"6446","-554","Charged Off"
659221,"9000","86400","2021-01-11","3.85","7.66","A","A5",36,"8945","-55","Charged Off"
782425,"4800","24600","2021-06-11","7.85","8.90","A","A5",36,"1978","-2822","Charged Off"
458328,"5000","30000","2021-01-10","9.92","11.48","B","B2",36,"884","-4116","Charged Off"
744344,"6000","48000","2021-05-11","23.57","11.49","B","B4",36,"3950","-2050","Charged Off"
1026463,"6300","60000","2021-11-11","3.66","14.65","C","C3",36,"5554","-746","Charged Off"
489679,"6000","34000","2021-03-10","14.86","15.70","D","D4",36,"5986","-14","Charged Off"
519658,"4750","18000","2021-05-10","21.60","7.88","A","A5",36,"2216","-2534","Charged Off"
470041,"4800","43800","2021-01-10","7.37","7.05","A","A1",36,"3210","-1590","Charged Off"
